আফ্রিকা	Afriko
ইন্দ্র	Indro
পাকিস্তানের জাতীয় পতাকা	Flago de Pakistano
ফার্মাকোলজি	Farmakologio
কাইক্লোপ্স	Ciklopo
ফুটবল ক্লাব দু পোর্তো	FC Porto
শার্ল পেরো	Charles Perrault
ইসরায়েলের জাতীয় পতাকা	Flago de Israelo
গ্রাহাম গ্রিন	Graham Greene (verkisto)
জৈব তথ্যবিজ্ঞান	Biokomputiko
স্তন ক্যান্সার	Mama kancero
মূল্য সংযোজন কর	Aldonvalora imposto
সান্দ্রতা	Viskozeco
জন ফর্ব্‌স ন্যাশ	John Nash
সোর্স কোড	Fontkodo
জর্জ সিম্‌নোন	Georges Simenon
রিকি মার্টিন	Ricky Martin
অ্যাডভান্সড মাইক্রো ডিভাইসেস	AMD
হুসাইন বিন আলি, মক্কার শরিফ	Husejn ibn Ali (Hiĝazo)
দ্যা লাস্ট সাপার (লিওনার্দো দা ভিঞ্চি)	La Lasta Vespermanĝo (Leonardo)
দালি ব্লিন্ড	Daley Blind
হ্যারল্ড উইলসন	Harold Wilson
হ্যারল্ড ম্যাকমিলান	Harold Macmillan
জৈবজ্বালানী	Biobrulaĵo
এন্টোনি ইডেন	Anthony Eden
ক্লিমেন্ট এট্‌লি	Clement Attlee
ভোপালের বিপর্যয়	Bhopala tragedio
ভারত বিভাগ	Dispartigo de Hindio
ফিনিক্স (নভোযান)	Fenikso (kosmosondilo)
অ্যানথ্রাক্স (রোগ)	Antrakso
ট্রাফালগার স্কয়ার	Placo Trafalgar
নিকোলাই লোবাচেভস্কি	Nikolaj Ivanoviĉ Lobaĉevskij
খাঁচা	Kaĝo
হাতশেপসুত	Hatŝepsut
ব্রিটিশ ভারত	Brita Hindio
মহাসাগরীয় স্রোত	Marfluo
ইয়েতি	Jetio
মারিও বালোতেল্লি	Mario Balotelli
ঊরু	Femuro
সেন্ট ব্যাজল'স ক্যাথিড্রাল	Katedralo Sankta Bazilio
সিপাহী বিদ্রোহ ১৮৫৭	Ribelo de sipajoj
লিটল আউল	Noktuo
জুলু (জাতি)	Zuluoj
রবার্ট হফষ্টাটার	Robert Hofstadter
এটলাস পর্বতমালা	Atlasa Montaro
লন্ডন ব্রিজ	Ponto de Londono
পাবলো আইমার	Pablo Aimar
আতেন	Atono
ম্যাকবেথ	Makbeto
জর্জ মাইকেল	George Michael
ফেনল	Fenolo
রিবোফ্লাভিন	Riboflavino
মাজরে শরীফ	Mazar-i Ŝarif
বাহরাইনের জাতীয় পতাকা	Flago de Barejno
জাক দেরিদা	Jacques Derrida
ফিলিপ দ্বিতীয় (মেসিডোনিয়া)	Filipo la 2-a (Makedonio)
নাঙ্গা পর্বত	Nanga Parbat
কালনিরূপণবিদ্যা	Kronologio
জেমস ব্লান্ট	James Blunt
আতলাস (পৌরাণিক চরিত্র)	Atlaso (mitologio)
পের্সেউস	Perseo
পূর্ব কেপ প্রদেশ	Orienta Kablando
জুনিচিরো কোইযুমি	Koizumi Ĝuniĉiro
কুর্স্কের যুদ্ধ	Batalo ĉe Kursko
চ্যুইং গাম	Maĉgumo
রয়টার্স	Reuters
রবার্ট মিলিকান	Robert Andrews Millikan
লঘুমস্তিষ্ক	Cerbeto
সমতুল্যতার অন্বয়	Ekvivalentrilato
হারুনুর রশিদ	Harun ar-Raŝid
ওকামের খুর	Razilo de Ockham
ফ্রাঁসোয়া রাবলে	François Rabelais
সাইন্টোলজি	Scientologio
কন্টেন্ট ম্যানেজমেন্ট সিস্টেম	Sistemo por administrado de enhavo
পল ক্রুগম্যান	Paul Krugman
মারিয়া মন্টেসরি	Maria Montessori
আনা কুর্নিকোভা	Anna Kurnikova
বায়ু দূষণ	Aera poluado
কোবোল	COBOL
টম অ্যান্ড জেরি	Tom kaj Jerry
চীনের জাতীয় পতাকা	Flago de Ĉinio
টি-শার্ট	T-ĉemizo
শিরিন এবাদি	Ŝirin Ebadi
ইউটোপিয়া	Utopio
টেইলর ধারা	Serio de Taylor
প্রোপেন	Propano
টাক্স	Tukso
ভিয়েতনামের জাতীয় পতাকা	Flago de Vjetnamio
মসুর ডাল	Lento
অ্যামানিটা মাস্কারিয়া	Muŝoamanito
স্লেয়ার	Slayer
দক্ষিণ তারাওয়া	Bairikio
টনি ক্রুস	Toni Kroos
কার্ল লুইস	Carl Lewis
এস্কিমো	Eskimoj
ইমেজিন অ্যান্ড পয়েশিয়া	Immagine & Poesia
শিকাগো বিশ্ববিদ্যালয়	Universitato de Ĉikago
অলিভার কান	Oliver Kahn
জনসংস্কৃতি	Popola kulturo
অভিবাসন	Enmigrado
পতিতালয়	Bordelo
রুয়ান্ডার গণহত্যা	Ruanda genocido
ওডোনটোচেলিস	Odontochelys
প্যান্ডোরা	Pandora
আন্তিগোনে	Antigona (mitologio)
অ্যালকাট্র্যাজ দ্বীপ	Alcatraz
পেশাদারি কুস্তি	Vrestlingo
আলেকসান্দর আলেখিন	Aleksandro Aleĥin
আন্তর্জাতিক তারিখ রেখা	Internacia datlinio
সংলাপ	Dialogo
খিলাফত	Kalifujo
শ্যানিয়া টোয়াইন	Shania Twain
অ্যাক্স (গণ)	Aix (genro)
গ্রাফ তত্ত্ব	Grafeteorio
হিজরত	Heĝiro
ব্রাইটন	Brajtono
কৃষক	Terkultivisto
টক চেরি	Acida ĉerizo
বুমেরাং	Bumerango
ক্যাপিবারা	Kapibaro
ভারতের রাজ্য ও কেন্দ্রশাসিত অঞ্চল	Ŝtatoj de Barato
হ্যারি হুডিনি	Harry Houdini
ফেনেক শেয়াল	Feneko
ইনস্টিটিউট অব ইলেকট্রিক্যাল অ্যান্ড ইলেকট্রনিক্স ইঞ্জিনিয়ার্স	IEEE
শরণার্থী	Rifuĝinto
হেকাতে	Hekato
তিরামিসু	Tiramisu
সেলেনে	Seleno (mitologio)
পাউলির বর্জন নীতি	Principo de ekskludo
পদক	Medalo
কাজাকিস্তানের জাতীয় পতাকা	Flago de Kazaĥio
দোমিনিক দ্য ভিলপ্যাঁ	Dominique de Villepin
কোম প্রদেশ	Provinco Ĥom
লিনাক্স ডিস্ট্রিবিউশন	Distribuaĵo (Linukso)
আনাতোলি কারপভ	Anatolij Karpov
ভ্রূণবিদ্যা	Embriologio
অস্ট্রিয়ার ফ্রীডম পার্টি	Freiheitliche Partei Österreichs
চপ্পল	Sandalo
ইয়োহানেস ডিডেরিক ফান ডার ভাল্‌স	Johannes Diderik van der Waals
বিটকয়েন	Bitmono
জোয়ান বায়েজ	Joan Baez
উইলিয়াম লরেন্স ব্র্যাগ	William Lawrence Bragg
হেপাটাইটিস	Hepatito
গরিষ্ঠ সাধারণ গুণনীয়ক	Plej granda komuna divizoro
ডেস্পারেট্‌ হাউজওয়াইভ্‌স	Desperate Housewives
মাল্টিমিডিয়া	Plurmedio
কৈশোর	Adolesko
ডেনমার্ক জাতীয় ফুটবল দল	Dana nacia teamo de futbalo
সেত	Setho
ওরান	Orano
কালী	Kalio (diino)
এলেয়ার জিনো	Zenono de Elajo
উৎসব	Festivalo
থেরবাদ	Teravado
রূপকথা	Fantasto
আয়ুর্বেদ	Ajurvedo
শিনযো আবে	Abe Shinzo
ডেভিস কাপ	Davisa pokalo
উত্তর কেপ প্রদেশ	Norda Kablando
ব্ল্যাক মেটাল	Nigra metalroko
উন্নত দেশ	Industrilando
ফের্মার শেষ উপপাদ্য	Lasta teoremo de Fermat
অমর্ত্য সেন	Amartya Sen
১৯৯০ ফিফা বিশ্বকাপ	Futbala Mondpokalo 1990
১৯৫৮ ফিফা বিশ্বকাপ	Futbala Mondpokalo 1958
রবার্ট ওপেনহেইমার	Robert Oppenheimer
তসবীহ্‌	Rozario
ডায়ানা (পৌরাণিক চরিত্র)	Diana
জাতিসংঘ শরণার্থীবিষয়ক হাইকমিশনার	Alta Komisaro de la Unuiĝintaj Nacioj pri Rifuĝintoj
দে জুরি	De iure
রামকুত্তা	Montara kuono
কামিলো হোসে সেলা	Camilo José Cela
অ্যাড্রেনালিন	Adrenalino
তড়িৎ বর্তনী	Elektra cirkvito
মিশরীয় হায়ারোগ্লিফিক	Hieroglifoj
কাসাব্লাঙ্কা (চলচ্চিত্র)	Casablanca (filmo)
ডেরেক ওয়ালকট‌	Derek Walcott
যমুনা নদী (ভারত)	Jamuna
গ্র্যান্ড থেফট অটো (সিরিজ)	Grand Theft Auto (serio)
ফ্যাক্স	Faksilo
আর্বিল	Arbil
মাদ্রাসা	Madraso
ফাইন্ডিং নিমো	Finding Nemo
লিস্প (প্রোগ্রামিং ভাষা)	Lisp (programlingvo)
অলিম্পিক ডি মার্সেই	Olympique de Marseille
বুশেহর প্রদেশ	Provinco Buŝehr
তাকলা মাকান মরুভূমি	Taklamakano
সাহারা-নিম্ন আফ্রিকা	Afriko sude de Saharo
ভ্লাদিমির মায়াকোভস্কি	Vladimir Majakovskij
এশীয় হাতি	Azia elefanto
লিথোগ্রাফি	Litografio
আলবের্তো ফুজিমোরি	Alberto Fujimori
সিলভিয়া প্ল্যাথ	Sylvia Plath
ডুনেডিন	Dunedin
হার্নিয়া	Hernio
পা	Kruro
ভারতের ইতিহাস	Historio de Barato
ইথাইন	Etino
উপনিবেশ	Kolonio
প্রিট্‌জকার পুরস্কার	Pritzker-premio
ঘাতবাদ্য	Frapinstrumento
কামিকাযি	Kamikazo
স্কোয়াশ (ক্রীড়া)	Skvaŝo
মেথি	Fenugreko
মুসলিম ব্রাদারহুড	Islama Frataro
ক্লিনটন জোসেফ ডেভিসন	Clinton Joseph Davisson
মাইটোসিস	Mitozo
গাব্রিয়েল লিপমান	Gabriel Lippmann
জন্ডিস	Iktero
ল্যেভ লান্দাউ	Lev Landau
উপজাতি	Tribo
মারাট সাফিন	Marat Safin
স্থান-কাল	Spactempo
সোলোন	Solono
স্যাটানিজম	Satanismo
ভ্যালি অফ দ্য কিংস	Valo de la Reĝoj
হারা-কিরি	Seppuku
বেইজিং ন্যাশনাল স্টেডিয়াম	Nacia stadiono de Pekino
জেনেভা কনভেনশন	Konvencioj de Ĝenevo
জন লগি বেয়ার্ড	John Logie Baird
আলতামিরা গুহা	Kaverno Altamira
দ্য সাইলেন্স অব দ্য ল্যাম্বস (চলচ্চিত্র)	The Silence of the Lambs
স্পিন (পদার্থবিজ্ঞান)	Spino (fiziko)
হাওয়ার্ড কার্টার	Howard Carter
বর্ণান্ধতা	Kolorblindeco
লারস ভন ট্রাইয়ার	Lars von Trier
উইলিয়াম হেনরি ব্র্যাগ	William Henry Bragg
প্লেগ	Pesto
রোগতত্ত্ব	Epidemiologio
জর্জ প্যাগেট থমসন	George Paget Thomson
অপবর্তন	Difrakto
ইলুমিনাতি	Iluminatoj
প্রাথমিক চিকিৎসা	Sukuro
মিরক্যাট	Surikato
কোলা	Kolao
মহাপ্লাবন (পুরাণ)	Tutmonda diluvo
নওয়াজ শরীফ	Naŭaz Ŝarif
জঁ-বাতিস্ত পেরাঁ	Jean Baptiste Perrin
আবু সিম্‌বেল	Temploj de Abu Simbel
হোজে দে সান মার্টিন	José de San Martín
জয়েন্ট স্টক	Akcia kompanio
অস্কার নেইমার	Oscar Niemeyer
